Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"PepsiCo
3.7","Unilever, Mondelēz International, Amazon",1965,"Purchase, NY",Food & Beverage Manufacturing,"Auto req ID: 197188BR
Job Description


PepsiCo operates in an environment undergoing immense and rapid change, driven by eCommerce and emergent retail technologies. To ensure continued success in the food and beverage space, PepsiCo has assembled a dedicated eCommerce team – tasked with optimizing eCommerce operations and developing innovations that will give PepsiCo a sustainable competitive advantage. While tied closely to broader PepsiCo, the eCommerce group more closely resembles a start-up environment; embracing the core values of having a bias for action, being results-oriented, maintaining a community-focus, and prioritizing people.

PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build industry-leading systems and solutions. By focusing on machine learning and automation, the Data Science & Analytics group is pushing the bounds of possibility for PepsiCo and its strategic partners.

What PepsiCo Data Science & Analytics does:
Build machine learning systems to understand the cross-channel grocery ecosystem
Perform statistical analysis across diverse datasets to drive and measure performance
Work with PepsiCo’s strategic partners to expand their technical capabilities, thereby creating a more robust data environment
Utilize natural language understanding techniques to uncover insights from contextual data
Develop scalable tools to drive automation and optimize business operations
As a PepsiCo Senior Principal Data Scientist, you will be a critical leader responsible for shaping and executing the global eCommerce growth agenda. You will lead a team of Data Science professionals and Software Engineers tasked with identifying, designing, and implementing machine learning solutions across PepsiCo. You will be responsible for defining the data science roadmap across multiple organizations and ensuring timely delivery of projects committed against that roadmap. You will work with business stakeholders and strategic partners to identify opportunities for collaborative development and foster a data-driven culture throughout PepsiCo. To this end, you will be responsible for building a world-class data science organization, capable of creating a sustainable competitive advantage for PepsiCo.

Responsibilities:
Lead a team of Data Scientists and Software Developers in the application of modern data science and machine learning principles to address a wide range of business problems across various functional groups within PepsiCo
Define project roadmaps and manage project flow to ensure timely delivery of impactful products
Provide critical thought leadership to enhance organizational capabilities by utilizing big and small data; work with business leaders and strategic partners to identify and execute on opportunities for enhancement
Act as the technical representative for PepsiCo’s eCommerce Data Science organization
Qualifications/Requirements
Master’s Degree in Data Science or equivalent, PhD Preferred
10 years of relevant work experience, 6 years with a PhD
4+ years of software development and machine learning experience in a business environment
Experience leading technical teams
Expert in mathematical models underlying data science methods
Demonstrated ability to effectively and concisely communicate with both business and technical audiences
Relocation Eligible: Not Applicable
Job Type: Regular

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",Senior Principal Data Scientist,"New York, NY",3.7,$10+ billion (USD),$74K-$122K (Glassdoor est.),Manufacturing,10000+ employees,Company - Public
"Booz Allen Hamilton Inc.
3.7","Accenture, Deloitte, PwC",1914,"Mc Lean, VA",Consulting,"Job Number: R0079579

Data Scientist, Senior

The Challenge:

Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the machine learning and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors from fraud detection, to cancer research, to national intelligence you know the answers are in the data. You will work with different Government stakeholders to build and maintain automated data workflows and pipelines, develop solutions to ingest, store, and distribute structured and unstructured data from disparate sources into a single location in the cloud, and support data driven decision making and knowledge sharing.

We have an opportunity for you to use your leadership and analytical skills to improve data analytics platforms and analytics for the Navy. Youll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. Youll mentor teammates, develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help Navy strategic, operational, and tactical leaders make informed decisions. Youll provide your customer with a deep understanding of their data, what it all means, and how they can use it. As a technical leader, youll identify new opportunities to use data science solutions to help your customers meet their toughest challenges.

Empower change with us.

You Have:

-2+ years of experience with statistical programming languages, including Python or R

-2+ years of experience with graph databases, including Neo4j, Cosmos DB, or JanusGraph

-Experience with data mining, graph theory, and statistical analysis

-Experience with pattern recognition and predictive modeling

-Experience with using current state of the art Knowledge Graphs, Network Graphs, and Graph Analysis

-Experience with the Cypher query language

-Knowledge of various data structures and common methods in data transformation

-Knowledge of machine learning frameworks and implementing Machine Learning algorithms to build models

-Ability to obtain a security clearance

-BA or BS degree

Nice If You Have:

-Experience with Agile methodologies

-Experience with Data Visualization platforms, including D3 Framework, Tableau, Kibana, and QLIK

-Experience in working with AWS - EC2 instances and S3 buckets

-Experience with UNIX and Linux commands

-Experience with Named Entity Extraction using Natural Language Processing

-Knowledge of Polystore Data Management Systems and Data Governance

-Knowledge of using ElasticSearch andMongoDB

-Knowledge of Natural Language Processing

algorithms and methodologies

-BA or BS degree in Computer Science, Statistics, or Applied Mathematics.

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.

Build Your Career:

At Booz Allen, we know the power of analytics and were dedicated to helping you grow as a data analysis professional. When you join Booz Allen, youll have the chance to:
access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk
change the world with the Data Science Bowlthe worlds premier data science for social good competition
participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government
Youll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. Well help you develop the career you want as you chart your own course for success.

Were an EOE that empowers our peopleno matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristicto fearlessly drive change.

#LI-AH1, APC1, CJ1","Data Scientist, Senior","Arlington, VA",3.7,$5 to $10 billion (USD),$74K-$122K (Glassdoor est.),Business Services,10000+ employees,Company - Public
"Wolverine Trading
4.1",-1,1994,"Chicago, IL",Investment Banking & Asset Management,"Data Scientist / Quantitative Researcher – High Frequency Futures
Location


Chicago

Job Department


Trading

Apply Now

Position Title: Data Scientist / Quantitative Researcher – High Frequency Futures

Location: Chicago

Department: Trading

Position Summary

We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a newly formed effort within a successful proprietary trading firm.

Responsibilities

• Conduct financial data analysis on large datasets to generate profitable trading alphas.

• Define key metrics for model validation.

• Back testing and production performance monitoring.

• Contribute to in-house data analysis packages and research framework development.

• Acquisition of new data sets and cleaning/maintenance of new and existing data sets.

Requirements

• At least 2+ years of experience generating or implementing short-term trading alphas into production trading strategies.

• Advanced knowledge of modern statistical and machine learning techniques.

• Proficiency in a scripting language such as Python, R, or MATLAB.

• Proficiency in at least one statistical package and one machine learning package in one of the above languages.

• Demonstrated experience working with tick data.

• Degree in a quantitative discipline such as Statistics, Computer Science, Mathematics, Engineering, etc.

• Experience developing software systems an in object oriented language is a plus.

About Wolverine

Founded in 1994, the Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. The Wolverine companies are headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.

Sponsorship is not available for this position.",Data Scientist / Quantitative Researcher – High Frequency Futures,"Chicago, IL",4.1,$10 to $25 million (USD),$74K-$122K (Glassdoor est.),Finance,201 to 500 employees,Company - Private
"CK-12 Foundation
4.1",-1,2007,"Palo Alto, CA",K-12 Education,"CK-12’s mission is to provide free access to open-source content and technology tools that empower students as well as teachers to enhance and experiment with different learning styles, resources, levels of competence, and circumstances.

To achieve this noble and ambitious vision, we at CK-12 are challenging the traditional model of education to transform it dramatically. Technology has opened up lots of opportunities to revolutionize education for the benefit of students, teachers, and parents.

We have chosen to be non-profit so that we can effectively realize our mission and so that we can do the right thing! It also provides us the ability to experiment with big and bold ideas. CK-12 is backed by Vinod Khosla, a renowned technology venture capitalist.

At CK-12, you’ll experience the benefits of working in a dynamic, entrepreneurial, innovative and non-bureaucratic environment where you will get a lot of cool things done than you ever imagined! We are a small group of passionate folks who are determined to disrupt the current form of education. We came together from companies such as Apple, eBay, Amazon, McGraw-Hill, and startups.

Technology is key to scale education and we deeply believe in it. Come develop great solutions on our cloud-based (AWS) AI-first platform delivering rich and interactive content.

Does our mission, people and technologies excite you? If the answer is YES! and you are a great technologist who will challenge status-quo (no order takers please!) by innovating, please come join us! Together, we will change the world!

CORE RESPONSIBILITIES
Extract and Analyse the large volume of data deeply to understand and deduce a wide range of information about our users
Transform these insights into actionable reports (~50% of your time would be involved in this activity)
Anticipate user’s needs based on their past actions, collaborative filters and other data analytics techniques to create highly engaging experiences that increase usage (for new and repeat users) of CK-12 and at the same time increase learning outcomes for our users
Communicate data insights to the team and recommend concrete actions and inferences to the team
Provide technical expertise in statistical analysis, mathematical modeling, data mining/machine learning
Institutionalize user analytics in processes and decision making, both strategic and tactical that will drive to achieve CK-12 mission
Develop a sound understanding of the Education and Ed Tech market, competitive landscape, industry-wide data, and benchmarks, and create yardstick/milestones for the organization to set or beat
Analytics is part of our DNA and whatever features we build (or the ones that are live currently) capture enough meaningful analytics for future data mining
Develop a strong understanding of K-12 content, pedagogies, student learning habits to analyze and inform about content and product effectiveness
Develop a strong understanding of teacher and student needs, desires and workflows to inform data analytics and analysis
Have fun while driving innovation through data by challenging the status quo in education and learning and providing creative data-based solutions
REQUIREMENTS
5+ years of experience as a Data Scientist
Proficiency in SQL or NoSQL and handling large and messy datasets
Proficiency in data visualization software and/or libraries (e.g. Tableau, Periscope, matplotlib, etc)
Proficiency in Pandas, SAS, R, Matlab or other analytics/data mining package
Experience with mathematical, statistical, and scientific modeling skills
Experience in segmentation building, predictive analytics, and statistical modeling
Adept at problem-solving using both textbook methods and novel viewpoints
Able to work in tandem with business partners and engineering to formulate and solve tractable projects
Able to translate high-level directions into practical projects and lead/drive their completion with minimal supervision
Be a data enthusiast and a data skeptic; we need both.
Excellent interpersonal, written, and verbal communication skills
Bachelor’s or Master’s degree in Computer Science or quantitative discipline
Able to look outside the organization for new datasets and formulate best practices and metrics to showcase CK-12 capabilities
ADDITIONAL DESIRED SKILLS
Experience with NoSQL platforms, especially MongoDB (a huge plus)
Experience with data engineering (Map Reduce platforms, data pipelining, etc)
Experience at EdTech company or K-12 Educational landscape
HOW TO APPLY

Submit your resume to ml@ck12.org with “Senior Data Scientist” in the subject line.
It is a full-time position at our office in Palo Alto, CA (no telecommuting)
The applicant must be authorized to work in the US for any employer",Senior Data Scientist,"Palo Alto, CA",4.1,Unknown / Non-Applicable,$74K-$122K (Glassdoor est.),Education,1 to 50 employees,Company - Private
"Evidation
4.0",-1,2012,"San Mateo, CA",Internet,"Evidation Health is a new kind of health and measurement company that provides the technology and guidance to understand how everyday behavior and health interact. The volumes of behavior data generated from wearables and smartphones has opened up new ways to analyze individuals' behavior and health in real time. With a virtual pool of 3 million research participants, Evidation Health undertakes research for innovative biopharma and health care companies to transform how diseases are identified, treated, and monitored.

We're looking to fill multiple positions with outstanding applied scientists and engineers who want to use analytics and signal processing to understand and harness vast amounts of multi-variate time series data from connected wearables, sensors, and other mobile data in order to infer changes in health status and disease progression over time. The ideal candidates could have disciplinary training from several disciplines (machine learning, biostatistics, signal processing) and experience building models and applications from biomedical time series data.

We value problem-solving skills and an attitude towards learning: Our work lies at the intersection of many diverse fields including machine learning, signal processing, and epidemiology. We seek great communication and accountability, people who think people first.

If you thrive on autonomy and open-ended challenges, this is the perfect opportunity to take your career to the next level.

We have offices in San Francisco, San Mateo, and Santa Barbara, and are considering candidates for all three offices, as well as remote.

RESPONSIBILITIES
Analyze continuous signals from biomedical devices to extract features predictive of health outcomes.
Understand impact of missing data and imputation techniques.
Communicate with a team of data scientists drawing from a very diverse set of expertise.
Build re-usable tools and models to predict health-related variables from time-series continuously collected from connected devices and apps.
Work with a team of data scientists with very diverse backgrounds and expertise to define tasks and performance metrics.
QUALIFICATIONS


Minimum Qualifications:
PhD in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline, OR
Masters in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline with 2+ years of industry experience
Experience in health data science or related fields (academic ok)
Proficiency in Python, Matlab, or R
High level of motivation and willingness to learn new tools and ideas. Health Data Science is a nascent field where methods and concepts are quickly evolving
Preferred Qualifications:
Strong foundation on software engineering best practices
Experience working with biomedical time-series data
Experience with extracting features from wearable sensors
Knowledge of deep learning frameworks: Keras and TensorFlow
Understanding of statistics: significance tests, source of biases, mixed effect models, experiment design.
BENEFITS
Health, dental, and vision benefits for you and competitive coverage for your family
Relocation support
Equity
Flexible work hours
Open vacation policy - take time when you need it
Support for remote work when needed
Relaxed work environment
Your choice of computing equipment and gear
Lots of opportunities for growth
Opportunity to work on fascinating challenges that improve people's lives
EVIDATION HEALTH VALUES DIVERSITY AND IS COMMITTED TO EQUAL OPPORTUNITY FOR ALL PERSONS WITHOUT REGARD TO RACE, COLOR, CREED, RELIGION, MARITAL STATUS, AGE, NATIONAL ORIGIN OR ANCESTRY, POLITICAL ACTIVITY OR AFFILIATION, PHYSICAL OR MENTAL DISABILITY, MEDICAL CONDITION INCLUDING GENETIC CHARACTERISTICS, MARITAL STATUS, SEXUAL ORIENTATION, GENDER IDENTITY, SEX OR GENDER.",Health Data Scientist - Biomedical/Biostats,"Santa Barbara, CA",4.0,Unknown / Non-Applicable,$74K-$122K (Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"ManTech
4.1",-1,1968,"Herndon, VA",Research & Development,"Secure our Nation, Ignite your Future

Job Summary

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of big data solutions to promote efficient trade and travel. Further, effective big data solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.

In response to this challenge, ManTech, as a trusted mission partner of CBP, seeks a capable, qualified, and versatile Chief Data Scientist to lead the development and delivery of high-quality predictive modelling solutions. A successful applicant will serve as recognized Subject Matter Expert in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. They will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. Project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. The products we develop provide actionable insight with real and immediate impact on the safety and security of the United States, its citizens, visitors, and economy.

Required Qualifications
Significant experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems in dynamic, threat/risk driven operating environments.
Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.
Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.
Proficiency with statistical software packages: SAS, SPSS Modeler, R, WEKA, or equivalent.
Experience with programming languages: R, Python, Scala, Java, SQL, or equivalent.
Experience constructing and executing queries to extract data in support of EDA and model development.
Experience with unsupervised and supervised machine learning techniques and methods.
Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases.
Experience performing data mining, analysis, and training set construction.
Experience working in a team and deploying solutions in an iterative or agile/DevOps continuous integration and delivery environment using lifecycle management methods and tools.
Strong ability to work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.
Masters or Ph.D. degree in operations research, industrial engineering, physics, mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience.
Desired Qualifications
Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop).
Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI).
Clearance: Active Top Secret
Clearance:

Selected applicants must be a US Citizen and able to obtain and maintain a U.S. Customs and Border Protection (CBP) suitability.

#LI-FA1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",Chief Data Scientist,"Alexandria, VA",4.1,$1 to $2 billion (USD),$74K-$122K (Glassdoor est.),Business Services,5001 to 10000 employees,Company - Public
"CyberCoders
4.1",-1,1999,"Irvine, CA",Staffing & Outsourcing,"Remote Data Scientist
If you are a Remote Data Scientist with experience, please read on!
Top Reasons to Work with Us
1. Helping our Higher Ed Clients design, develop and support analytical processes to advance their institutions.
2. Continuous learning and exposure to new technology and new industry skills
What You Will Be Doing
REMOTE DATA SCIENCE ROLE

We are seeking data science professionals with strong skills in Higher Ed. The ideal candidate will have strong experience applying machine learning methodologies within universities, leadership skills within the university, and any experience around university growth metrics: Student Attraction, Student Retention, Administration, Operations and FInancial Management.

The ideal candidate will be a subject matter expert and academic professional within data science and understand how data science departments leverage technology and innovate.

Strong experience with regressions and time series

Strong Experience with Python, SQL, Spark

Strong experience with Apache

Strong communication, professional aptitude, and persuasion.

Machine Learning, Algorithms, and predictive models.
What You Need for this Position
- Python
- Big Data
- Regressions
- Time Series
- Growth Metrics
- ML Methodologies
What's In It for You
- Python
- Big Data
- ML Methologies
- Regressions
- Growth Metrics
- Time Series
So, if you are a Remote Data Scientist with experience, please apply today!
-
Applicants must be authorized to work in the U.S.


CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",Remote Data Scientist,"Boston, MA",4.1,$100 to $500 million (USD),$74K-$122K (Glassdoor est.),Business Services,201 to 500 employees,Subsidiary or Business Segment
"h2o.ai
4.3",-1,2011,"Mountain View, CA",Enterprise Software & Network Solutions,"Company Overview

H2O.ai is the open source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with software with its category-creating visionary open source machine learning platform, H2O. More than 18,000 companies use open-source H2O in mission-critical use cases for Finance, Insurance, Healthcare, Retail, Telco, Sales and Marketing. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and cost-effective means of implementing data science. H2O.ai partners with leading technology companies such as NVIDIA, IBM, AWS, Intel, Microsoft Azure and Google Cloud Platform and is proud of its growing customer base which includes Capital One, Progressive Insurance, Comcast, Walgreens and MarketAxes. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit www.h2o.ai.

Job Summery:
Can you learn demonstrations (demos) built with R and/or Python? If you think of a cool demo and it doesn't exist, will you raise your hand to get it built?
Can you code proficiently in at least one language used by data scientists and/or data engineers, and does it excite you to learn more?
Are you skilled at predictive modeling?
Do you view communication skills just as important as technical ones? Can you listen to the needs of your peers and customers and adapt where need be? Can you write a technical proposal and explain it in simple terms?
Do you have a competitive drive to be the best you can be?
Can you finish what you start? Can you own assignments given to you?
If the answer is ""yes"" to these questions, you potentially could be an excellent fit to join the team of customer engineering makers at H2O.ai. We deliver world-class solution experiences for our customers and drive revenue for our organization. Some of the technical projects you will work on include: training advanced machine learning models at scale in distributed environments, influencing next generation data science tools and data products, and pioneering ideas and products in new areas, such as machine learning interpretability, automatic machine learning, model management, deployment pipelines, and GPU computing.

Qualifications and Skills:

A great candidate for Customer Data Scientist/Sales Engineer should:
Know Python, R, Java, Scala, Spark.
Have experience with Big Data including Hadoop, Spark, Kafka.
Have a working knowledge of ML algorithms for Regression and Classification problems.
Understanding of Supervised, Unsupervised, Deep learning techniques
Knowledge of XGBoost, Linear regression, GBM, GLM, LightGBM, Random Forest and other common ML algorithms
Experience using TensorFlow, Keras, Scikit libraries for performing ML .
Have strong interpersonal, communication and presentation skills.
2+ years experience with performing customer facing activities as part of a pre-sales team or professional services team.
Pre-sales experience is nice to have but not required.
Comfortable with traveling up to 50%.
We are interested in candidates coming from AI/ ML startups and have several years of work experience after completing their MSc or PhD degrees.

H2O.ai Perks!
Flexible work hours and time off.
H2O.ai is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.

Powered by JazzHR",Customer Data Scientist/Sales Engineer (Bay,"Mountain View, CA",4.3,Unknown / Non-Applicable,$74K-$122K (Glassdoor est.),Information Technology,201 to 500 employees,Company - Private
"Brighthouse Financial
3.6",-1,2017,"Charlotte, NC",Insurance Carriers,"Req Id: 2475
Job location: Charlotte, NC, US, 28277

Brighthouse Financial is on a mission to help people achieve financial security. As one of the largest providers of annuities and life insurance in the U.S., we specialize in products designed to help people protect what they've earned and ensure it lasts. We are built on a foundation of experience and knowledge, which allows us to keep our promises and provide the value they deserve.

At Brighthouse Financial, we're fostering a culture where diverse backgrounds and experiences are celebrated, and different ideas are heard and respected. We believe that by creating an inclusive workplace, we're better able to attract and retain our talent, provide valuable solutions that meet the needs of our advisors and their clients, and deliver on our mission of helping more people achieve financial security. We're se eking passionate, high-performing team member to join us. Sound like you? Read on.

How This Role Contributes to Brighthouse Financial:

Data Scientists in Brighthouse Financial's Data Science organization work closely with cross-­functional teams in marketing, distribution, actuarial, product and other functions, leveraging Brighthouse Financial's rich datasets to develop and deliver propensity models and data-­driven insights, and ultimately drive Brighthouse Financial's top line growth. A successful candidate will be passionate about finding insights in data and using quantitative analysis to answer complex questions, with a collaborative and resourceful style.

Key Responsibilities:
Conduct data analytics with the relevant programming / statistical package (such as R or Python) for large-scale problem solving
Work independently and possesses exceptional technical ability.
Understand complex business challenges, develop hypotheses, convert into the right analytical hypothesis, and communicate the results back to the partner teams with limited or no analytical background to drive the business strategy
Analyze internal / external, online / offline, and structured / unstructured data such as speech analytics, digital footprints, financial information, proprietary market research and secondary sources to identify insights
Create innovative solutions to business problems.
Partner with other operational areas to identify opportunities for new projects.
Build strong working relationships and improve workflow and organizational issues.
Build complex advanced-level machine learning and advanced analytics models.
Handle and resolve questions and issues referred by junior staff members.
May propose, evaluate and implement process improvements to increase efficiency and effectiveness.
Perform other duties as required or assigned.
Essential Business Experience and Technical Skills:
Doctoral degree in a technical field and two plus years of related work experience, or a Master's degree in a technical field and at least 3-4 years of related work experience, or a Bachelor's degree in a technical field and at least 6-8 years of related work experience.
Significant professional experience required applying quantitative analysis and modeling to solving real-world business problems including experience in model validation, testing and deployment
Demonstrated proficiency in Python/PySpark required
Demonstrated ability to perform high quality work independently
Excellent oral and written communication skills, including the ability to explain complicated quantitative concepts to non-­technical stakeholders using effective story telling techniques and visualization
Ability to translate business requirements into detailed analysis plans.
Ability to prioritize requests to meet the most important and urgent business needs
Working knowledge of insurance industry is a plus
Prior exposure to financial services or insurance industry preferred
Travel:

Less than 5%

PI119635128",Senior Data Scientist,"Charlotte, NC",3.6,Unknown / Non-Applicable,$74K-$122K (Glassdoor est.),Insurance,1001 to 5000 employees,Company - Public
"Eisai
3.0",-1,-1,"Hatfield, United Kingdom",Biotech & Pharmaceuticals,"At Eisai, satisfying unmet medical needs and increasing the benefits healthcare provides to patients, their families, and caregivers is Eisais human health care (hhc) mission. Were a growing pharmaceutical company that is breaking through in neurology and oncology, with a strong emphasis on research and development. Our history includes the development of many innovative medicines, notably the discovery of the world's most widely-used treatment for Alzheimers disease. As we continue to expand, we are seeking highly-motivated individuals who want to work in a fast-paced environment and make a difference. If this is your profile, we want to hear from you.

Job Description:

The Data Operations Group within the Neurology division at Eisai, Inc. is seeking an Associate Director - Data Scientist/Data Operations - NBG to drive drug development through predictive modeling of disease and drug response. The Data Scientist will collaborate closely with Biostatisticians in Statistical Methodology / Machine learning group to support projects in various stages of development in the Neurology Business Group. The Data Scientist will be part of providing actionable insights that are mission critical data science projects for our business.

Technical Skills Required:

• Experience with two or more of the following languages

• R, Python, MATLAB

• Experience with data cleansing and processing from SAS server or unstructured data in other sources

• Experience with sophisticated data science methods and tools used to implement Predictive Modeling, Machine Learning, and Neural Networks (such as Python/TensorFlow)

• Advanced data analysis

• Data storytelling

• Visual Analytics

Qualifications Required:
7 10 years experience in statistical methodology
Proven track record of developing, deploying, and supporting data analytic tools
Experience developing front-end interface to statistical models with tools like R/Shiny or others
Experience managing and coordinating with IT teams to maintain secure and compliant tools and applications
Experience with developing and deploying cloud-based tools or distributed computing environment using Spark
Excellent communication and presentation skills required
Experience in managing different workstreams and coordinating tasks with internal teams and outside consultants

Educational Qualifications:

• Bachelor of Science or higher
Eisai is an equal opportunity employer and as such, is committed in policy and in practice to recruit, hire, train, and promote in all job qualifications without regard to race, color, religion, gender, age, national origin, citizenship status, marital status, sexual orientation, gender identity, disability or veteran status. Similarly, considering the need for reasonable accommodations, Eisai prohibits discrimination against persons because of disability, including disabled veterans.

Eisai Inc. participates in E-Verify. E-Verify is an Internet based system operated by the Department of Homeland Security in partnership with the Social Security Administration that allows participating employers to electronically verify the employment eligibility of all new hires in the United States. Please click on the following link for more information:

Right To Work

E-Verify Participation",Associate Director - Data Scientist /Data Operations NBG,"Woodcliff Lake, NJ",3.0,Unknown / Non-Applicable,$74K-$122K (Glassdoor est.),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private
Seen by Indeed,-1,-1,"Austin, TX",-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",Data Scientist,"Pittsburgh, PA",-1,Unknown / Non-Applicable,$74K-$122K (Glassdoor est.),-1,Unknown,Company - Private
